DateTime,timeofday,C1 Depth (mm),Rainfall intensity (mm/hr)
04/09/20 00:00,0.000,94,0
04/09/20 00:15,0.010,94,0
04/09/20 00:30,0.021,91,0
04/09/20 00:45,0.031,90,0
04/09/20 01:00,0.042,89,0
04/09/20 01:15,0.052,92,0
04/09/20 01:30,0.063,90,0
04/09/20 01:45,0.073,88,0
04/09/20 02:00,0.083,92,0
04/09/20 02:15,0.094,87,0
04/09/20 02:30,0.104,94,0
04/09/20 02:45,0.115,90,0
04/09/20 03:00,0.125,93,0
04/09/20 03:15,0.135,90,0
04/09/20 03:30,0.146,94,0
04/09/20 03:45,0.156,93,0
04/09/20 04:00,0.167,93,0
04/09/20 04:15,0.177,90,0
04/09/20 04:30,0.188,93,0
04/09/20 04:45,0.198,92,0
04/09/20 05:00,0.208,94,0
04/09/20 05:15,0.219,96,0
04/09/20 05:30,0.229,96,0
04/09/20 05:45,0.240,100,0
04/09/20 06:00,0.250,103,0
04/09/20 06:15,0.260,92,0
04/09/20 06:30,0.271,103,0
04/09/20 06:45,0.281,107,0
04/09/20 07:00,0.292,104,0
04/09/20 07:15,0.302,144,0
04/09/20 07:30,0.313,102,0
04/09/20 07:45,0.323,113,0
04/09/20 08:00,0.333,105,0
04/09/20 08:15,0.344,103,0
04/09/20 08:30,0.354,110,0
04/09/20 08:45,0.365,105,0
04/09/20 09:00,0.375,108,0
04/09/20 09:15,0.385,109,0
04/09/20 09:30,0.396,121,0
04/09/20 09:45,0.406,108,0
04/09/20 10:00,0.417,104,0
04/09/20 10:15,0.427,103,0
04/09/20 10:30,0.438,101,0
04/09/20 10:45,0.448,100,0
04/09/20 11:00,0.458,101,0
04/09/20 11:15,0.469,94,0
04/09/20 11:30,0.479,119,0
04/09/20 11:45,0.490,101,0
04/09/20 12:00,0.500,102,0
04/09/20 12:15,0.510,95,0
04/09/20 12:30,0.521,98,0
04/09/20 12:45,0.531,99,0
04/09/20 13:00,0.542,98,0
04/09/20 13:15,0.552,98,0
04/09/20 13:30,0.563,102,0
04/09/20 13:45,0.573,103,0
04/09/20 14:00,0.583,106,0
04/09/20 14:15,0.594,101,0
04/09/20 14:30,0.604,98,0
04/09/20 14:45,0.615,102,0
04/09/20 15:00,0.625,102,0
04/09/20 15:15,0.635,101,0
04/09/20 15:30,0.646,100,0
04/09/20 15:45,0.656,101,0
04/09/20 16:00,0.667,98,0
04/09/20 16:15,0.677,112,0
04/09/20 16:30,0.688,102,0
04/09/20 16:45,0.698,99,0
04/09/20 17:00,0.708,100,0
04/09/20 17:15,0.719,106,0
04/09/20 17:30,0.729,103,0
04/09/20 17:45,0.740,96,0
04/09/20 18:00,0.750,107,0
04/09/20 18:15,0.760,103,0
04/09/20 18:30,0.771,106,0
04/09/20 18:45,0.781,108,0
04/09/20 19:00,0.792,102,0
04/09/20 19:15,0.802,105,0
04/09/20 19:30,0.813,104,0
04/09/20 19:45,0.823,101,0
04/09/20 20:00,0.833,103,0
04/09/20 20:15,0.844,104,0
04/09/20 20:30,0.854,99,0
04/09/20 20:45,0.865,100,0
04/09/20 21:00,0.875,97,0
04/09/20 21:15,0.885,101,0
04/09/20 21:30,0.896,107,0
04/09/20 21:45,0.906,97,0
04/09/20 22:00,0.917,96,0
04/09/20 22:15,0.927,92,0
04/09/20 22:30,0.938,85,0
04/09/20 22:45,0.948,91,0
04/09/20 23:00,0.958,94,0
04/09/20 23:15,0.969,91,0
04/09/20 23:30,0.979,89,0
04/09/20 23:45,0.990,89,0
05/09/20 00:00,0.00,88,0
05/09/20 00:15,0.01,86,0
05/09/20 00:30,0.02,90,0
05/09/20 00:45,0.03,87,0
05/09/20 01:00,0.04,88,0
05/09/20 01:15,0.05,104,0
05/09/20 01:30,0.06,87,0
05/09/20 01:45,0.07,89,0
05/09/20 02:00,0.08,85,0
05/09/20 02:15,0.09,89,0
05/09/20 02:30,0.10,86,0
05/09/20 02:45,0.11,86,0
05/09/20 03:00,0.13,85,0
05/09/20 03:15,0.14,87,0
05/09/20 03:30,0.15,86,0
05/09/20 03:45,0.16,87,0
05/09/20 04:00,0.17,87,0
05/09/20 04:15,0.18,88,0
05/09/20 04:30,0.19,88,0
05/09/20 04:45,0.20,89,0
05/09/20 05:00,0.21,89,0
05/09/20 05:15,0.22,91,0
05/09/20 05:30,0.23,94,0
05/09/20 05:45,0.24,92,0
05/09/20 06:00,0.25,95,0
05/09/20 06:15,0.26,95,0
05/09/20 06:30,0.27,91,0
05/09/20 06:45,0.28,109,0
05/09/20 07:00,0.29,98,0
05/09/20 07:15,0.30,103,0
05/09/20 07:30,0.31,101,0
05/09/20 07:45,0.32,109,0
05/09/20 08:00,0.33,113,0
05/09/20 08:15,0.34,106,0
05/09/20 08:30,0.35,109,0
05/09/20 08:45,0.36,138,0.03125
05/09/20 09:00,0.38,113,0.78125
05/09/20 09:15,0.39,119,0.09375
05/09/20 09:30,0.40,107,0
05/09/20 09:45,0.41,112,0.03125
05/09/20 10:00,0.42,104,0
05/09/20 10:15,0.43,103,0
05/09/20 10:30,0.44,104,0.03125
05/09/20 10:45,0.45,102,0
05/09/20 11:00,0.46,103,0
05/09/20 11:15,0.47,115,0
05/09/20 11:30,0.48,103,0
05/09/20 11:45,0.49,106,0
05/09/20 12:00,0.50,99,0
05/09/20 12:15,0.51,104,0
05/09/20 12:30,0.52,96,0
05/09/20 12:45,0.53,125,0
05/09/20 13:00,0.54,105,0
05/09/20 13:15,0.55,97,0
05/09/20 13:30,0.56,96,0
05/09/20 13:45,0.57,99,0
05/09/20 14:00,0.58,93,0
05/09/20 14:15,0.59,92,0
05/09/20 14:30,0.60,108,0
05/09/20 14:45,0.61,97,0
05/09/20 15:00,0.63,98,0
05/09/20 15:15,0.64,104,0
05/09/20 15:30,0.65,99,0
05/09/20 15:45,0.66,99,0
05/09/20 16:00,0.67,100,0.09375
05/09/20 16:15,0.68,93,0
05/09/20 16:30,0.69,100,0
05/09/20 16:45,0.70,105,0
05/09/20 17:00,0.71,91,0
05/09/20 17:15,0.72,111,0
05/09/20 17:30,0.73,100,0
05/09/20 17:45,0.74,103,0
05/09/20 18:00,0.75,102,0
05/09/20 18:15,0.76,96,0
05/09/20 18:30,0.77,96,0
05/09/20 18:45,0.78,97,0
05/09/20 19:00,0.79,90,0
05/09/20 19:15,0.80,95,0
05/09/20 19:30,0.81,98,0
05/09/20 19:45,0.82,96,0
05/09/20 20:00,0.83,94,0
05/09/20 20:15,0.84,95,0
05/09/20 20:30,0.85,88,0
05/09/20 20:45,0.86,94,0
05/09/20 21:00,0.88,93,0
05/09/20 21:15,0.89,91,0
05/09/20 21:30,0.90,92,0
05/09/20 21:45,0.91,90,0
05/09/20 22:00,0.92,93,0
05/09/20 22:15,0.93,85,0
05/09/20 22:30,0.94,85,0
05/09/20 22:45,0.95,92,0
05/09/20 23:00,0.96,86,0
05/09/20 23:15,0.97,86,0
05/09/20 23:30,0.98,83,0
05/09/20 23:45,0.99,72,0
06/09/20 00:00,0.00,85,0
06/09/20 00:15,0.01,84,0
06/09/20 00:30,0.02,79,0
06/09/20 00:45,0.03,76,0
06/09/20 01:00,0.04,83,0
06/09/20 01:15,0.05,82,0
06/09/20 01:30,0.06,82,0
06/09/20 01:45,0.07,82,0
06/09/20 02:00,0.08,81,0
06/09/20 02:15,0.09,84,0
06/09/20 02:30,0.10,80,0
06/09/20 02:45,0.11,79,0
06/09/20 03:00,0.13,82,0
06/09/20 03:15,0.14,80,0
06/09/20 03:30,0.15,80,0
06/09/20 03:45,0.16,85,0
06/09/20 04:00,0.17,65,0
06/09/20 04:15,0.18,82,0
06/09/20 04:30,0.19,84,0
06/09/20 04:45,0.20,84,0
06/09/20 05:00,0.21,81,0
06/09/20 05:15,0.22,83,0
06/09/20 05:30,0.23,81,0
06/09/20 05:45,0.24,85,0
06/09/20 06:00,0.25,85,0
06/09/20 06:15,0.26,83,0
06/09/20 06:30,0.27,83,0
06/09/20 06:45,0.28,86,0
06/09/20 07:00,0.29,93,0
06/09/20 07:15,0.30,93,0
06/09/20 07:30,0.31,93,0
06/09/20 07:45,0.32,97,0
06/09/20 08:00,0.33,99,0
06/09/20 08:15,0.34,106,0
06/09/20 08:30,0.35,103,0
06/09/20 08:45,0.36,104,0
06/09/20 09:00,0.38,114,0
06/09/20 09:15,0.39,106,0
06/09/20 09:30,0.40,103,0
06/09/20 09:45,0.41,136,0
06/09/20 10:00,0.42,103,0
06/09/20 10:15,0.43,100,0
06/09/20 10:30,0.44,103,0
06/09/20 10:45,0.45,99,0
06/09/20 11:00,0.46,100,0
06/09/20 11:15,0.47,102,0
06/09/20 11:30,0.48,102,0
06/09/20 11:45,0.49,126,0
06/09/20 12:00,0.50,99,0
06/09/20 12:15,0.51,97,0
06/09/20 12:30,0.52,101,0
06/09/20 12:45,0.53,100,0
06/09/20 13:00,0.54,108,0
06/09/20 13:15,0.55,100,0
06/09/20 13:30,0.56,96,0
06/09/20 13:45,0.57,77,0
06/09/20 14:00,0.58,95,0
06/09/20 14:15,0.59,87,0
06/09/20 14:30,0.60,98,0
06/09/20 14:45,0.61,95,0
06/09/20 15:00,0.63,92,0
06/09/20 15:15,0.64,99,0
06/09/20 15:30,0.65,99,0
06/09/20 15:45,0.66,96,0
06/09/20 16:00,0.67,95,0
06/09/20 16:15,0.68,94,0
06/09/20 16:30,0.69,97,0
06/09/20 16:45,0.70,0,0
06/09/20 17:00,0.71,100,0
06/09/20 17:15,0.72,98,0.375
06/09/20 17:30,0.73,101,0
06/09/20 17:45,0.74,107,0
06/09/20 18:00,0.75,106,0
06/09/20 18:15,0.76,109,0
06/09/20 18:30,0.77,120,0
06/09/20 18:45,0.78,104,0
06/09/20 19:00,0.79,103,0
06/09/20 19:15,0.80,100,0
06/09/20 19:30,0.81,105,0
06/09/20 19:45,0.82,102,0
06/09/20 20:00,0.83,94,0
06/09/20 20:15,0.84,102,0
06/09/20 20:30,0.85,101,0
06/09/20 20:45,0.86,100,0
06/09/20 21:00,0.88,87,0
06/09/20 21:15,0.89,97,0
06/09/20 21:30,0.90,98,0
06/09/20 21:45,0.91,85,0
06/09/20 22:00,0.92,91,0
06/09/20 22:15,0.93,90,0
06/09/20 22:30,0.94,86,0
