"NM_POINT_SOURCE","ID_POINT","NO_VALUE_ORIGINAL","NO_VALUE_STANDARD","TM_PERIOD_START","TM_PERIOD_END","TM_PROCESSED","NM_DERIVATION_TYPE","NM_MNEMONIC"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 00.00.00.000000000,04-SEP-20 00.14.59.999000000,04-SEP-20 00.08.48.808000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 00.15.00.000000000,04-SEP-20 00.29.59.999000000,04-SEP-20 00.24.49.382000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 00.30.00.000000000,04-SEP-20 00.44.59.999000000,04-SEP-20 00.39.14.486000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 00.45.00.000000000,04-SEP-20 00.59.59.999000000,04-SEP-20 00.54.19.898000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 01.00.00.000000000,04-SEP-20 01.14.59.999000000,04-SEP-20 01.09.24.404000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 01.15.00.000000000,04-SEP-20 01.29.59.999000000,04-SEP-20 01.24.33.026000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 01.30.00.000000000,04-SEP-20 01.44.59.999000000,04-SEP-20 01.39.50.283000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 01.45.00.000000000,04-SEP-20 01.59.59.999000000,04-SEP-20 01.54.45.574000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 02.00.00.000000000,04-SEP-20 02.14.59.999000000,04-SEP-20 02.09.40.333000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 02.15.00.000000000,04-SEP-20 02.29.59.999000000,04-SEP-20 02.24.34.544000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 02.30.00.000000000,04-SEP-20 02.44.59.999000000,04-SEP-20 02.39.35.269000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 02.45.00.000000000,04-SEP-20 02.59.59.999000000,04-SEP-20 02.54.27.734000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 03.00.00.000000000,04-SEP-20 03.14.59.999000000,04-SEP-20 03.09.31.272000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 03.15.00.000000000,04-SEP-20 03.29.59.999000000,04-SEP-20 03.24.26.560000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 03.30.00.000000000,04-SEP-20 03.44.59.999000000,04-SEP-20 03.39.20.931000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 03.45.00.000000000,04-SEP-20 03.59.59.999000000,04-SEP-20 03.54.35.909000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 04.00.00.000000000,04-SEP-20 04.14.59.999000000,04-SEP-20 04.09.32.223000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 04.15.00.000000000,04-SEP-20 04.29.59.999000000,04-SEP-20 04.24.31.747000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 04.30.00.000000000,04-SEP-20 04.44.59.999000000,04-SEP-20 04.39.33.562000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 04.45.00.000000000,04-SEP-20 04.59.59.999000000,04-SEP-20 04.54.28.255000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 05.00.00.000000000,04-SEP-20 05.14.59.999000000,04-SEP-20 05.09.56.873000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 05.15.00.000000000,04-SEP-20 05.29.59.999000000,04-SEP-20 05.24.34.644000000,"Average","mm/hr"
