DateTime,C1 Depth (mm)
03-09-2020 06:15,132.667
03-09-2020 06:30,123.500
03-09-2020 06:45,124.000
03-09-2020 07:00,0.000
03-09-2020 07:15,125.000
03-09-2020 07:30,0.000
03-09-2020 07:45,118.000
03-09-2020 08:00,175.000
03-09-2020 08:15,630.000
03-09-2020 08:30,664.000
03-09-2020 08:45,582.000
03-09-2020 09:00,458.000
03-09-2020 09:15,286.000
03-09-2020 09:30,123.000
03-09-2020 09:45,116.000
03-09-2020 10:00,137.000
03-09-2020 10:15,114.000
03-09-2020 10:30,114.000
03-09-2020 10:45,110.000
03-09-2020 11:00,109.000
03-09-2020 11:15,100.000
03-09-2020 11:30,107.000
03-09-2020 11:45,112.000
03-09-2020 12:00,103.000
03-09-2020 12:15,106.000
03-09-2020 12:30,106.000
03-09-2020 12:45,108.000
03-09-2020 13:00,108.000
03-09-2020 13:15,106.000
03-09-2020 13:30,110.000
03-09-2020 13:45,106.000
03-09-2020 14:00,108.000
03-09-2020 14:15,102.000
03-09-2020 14:30,96.000
03-09-2020 14:45,112.000
03-09-2020 15:00,107.000
03-09-2020 15:15,105.000
03-09-2020 15:30,108.000
03-09-2020 15:45,105.000
03-09-2020 16:00,107.000
03-09-2020 16:15,104.000
03-09-2020 16:30,106.000
03-09-2020 16:45,105.000
03-09-2020 17:00,110.000
03-09-2020 17:15,112.000
03-09-2020 17:30,110.000
03-09-2020 17:45,108.000
03-09-2020 18:00,111.000
03-09-2020 18:15,115.000
03-09-2020 18:30,111.000
03-09-2020 18:45,114.000
03-09-2020 19:00,114.000
03-09-2020 19:15,110.000
03-09-2020 19:30,110.000
03-09-2020 19:45,109.000
03-09-2020 20:00,104.000
03-09-2020 20:15,108.000
03-09-2020 20:30,105.000
03-09-2020 20:45,123.000
03-09-2020 21:00,105.000
03-09-2020 21:15,104.000
03-09-2020 21:30,105.000
03-09-2020 21:45,99.000
03-09-2020 22:00,102.000
03-09-2020 22:15,118.000
03-09-2020 22:30,99.000
03-09-2020 22:45,98.000
03-09-2020 23:00,97.000
03-09-2020 23:15,92.000
03-09-2020 23:30,94.000
03-09-2020 23:45,94.000
04-09-2020 00:00,94.000
04-09-2020 00:15,94.000
04-09-2020 00:30,91.000
04-09-2020 00:45,90.000
04-09-2020 01:00,89.000
04-09-2020 01:15,92.000
04-09-2020 01:30,90.000
04-09-2020 01:45,88.000
04-09-2020 02:00,92.000
04-09-2020 02:15,87.000
04-09-2020 02:30,94.000
04-09-2020 02:45,90.000
04-09-2020 03:00,93.000
04-09-2020 03:15,90.000
04-09-2020 03:30,94.000
04-09-2020 03:45,93.000
04-09-2020 04:00,93.000
04-09-2020 04:15,90.000
04-09-2020 04:30,93.000
04-09-2020 04:45,92.000
04-09-2020 05:00,94.000
04-09-2020 05:15,96.000
04-09-2020 05:30,96.000
04-09-2020 05:45,100.000
04-09-2020 06:00,103.000
04-09-2020 06:15,92.000
04-09-2020 06:30,103.000
04-09-2020 06:45,107.000
04-09-2020 07:00,104.000
04-09-2020 07:15,144.000
04-09-2020 07:30,102.000
04-09-2020 07:45,113.000
04-09-2020 08:00,105.000
04-09-2020 08:15,103.000
04-09-2020 08:30,110.000
04-09-2020 08:45,105.000
04-09-2020 09:00,108.000
04-09-2020 09:15,109.000
04-09-2020 09:30,121.000
04-09-2020 09:45,108.000
04-09-2020 10:00,104.000
04-09-2020 10:15,103.000
04-09-2020 10:30,101.000
04-09-2020 10:45,100.000
04-09-2020 11:00,101.000
04-09-2020 11:15,94.000
04-09-2020 11:30,119.000
04-09-2020 11:45,101.000
04-09-2020 12:00,102.000
04-09-2020 12:15,95.000
04-09-2020 12:30,98.000
04-09-2020 12:45,99.000
04-09-2020 13:00,98.000
04-09-2020 13:15,98.000
04-09-2020 13:30,102.000
04-09-2020 13:45,103.000
04-09-2020 14:00,106.000
04-09-2020 14:15,101.000
04-09-2020 14:30,98.000
04-09-2020 14:45,102.000
04-09-2020 15:00,102.000
04-09-2020 15:15,101.000
04-09-2020 15:30,100.000
04-09-2020 15:45,101.000
04-09-2020 16:00,98.000
04-09-2020 16:15,112.000
04-09-2020 16:30,102.000
04-09-2020 16:45,99.000
04-09-2020 17:00,100.000
04-09-2020 17:15,106.000
04-09-2020 17:30,103.000
04-09-2020 17:45,96.000
04-09-2020 18:00,107.000
04-09-2020 18:15,103.000
04-09-2020 18:30,106.000
04-09-2020 18:45,108.000
04-09-2020 19:00,102.000
04-09-2020 19:15,105.000
04-09-2020 19:30,104.000
04-09-2020 19:45,101.000
04-09-2020 20:00,103.000
04-09-2020 20:15,104.000
04-09-2020 20:30,99.000
04-09-2020 20:45,100.000
04-09-2020 21:00,97.000
04-09-2020 21:15,101.000
04-09-2020 21:30,107.000
04-09-2020 21:45,97.000
04-09-2020 22:00,96.000
04-09-2020 22:15,92.000
04-09-2020 22:30,85.000
04-09-2020 22:45,91.000
04-09-2020 23:00,94.000
04-09-2020 23:15,91.000
04-09-2020 23:30,89.000
04-09-2020 23:45,89.000
05-09-2020 00:00,88.000
05-09-2020 00:15,86.000
05-09-2020 00:30,90.000
05-09-2020 00:45,87.000
05-09-2020 01:00,88.000
05-09-2020 01:15,104.000
05-09-2020 01:30,87.000
05-09-2020 01:45,89.000
05-09-2020 02:00,85.000
